source,architecture,prompt_level,n_conversations,CED,min_distance,max_distance,topic,condition
LLM,C3,P0,5,0.2056331708375784,0.18572323668832647,0.23807365491847754,Job Benefits,C3-P0
LLM,C4,P0,5,0.1416927974643372,0.1133842031955492,0.16329612725958598,Job Benefits,C4-P0
SB,SB,SB,2,0.05685540086422691,0.0568554008642268,0.056855400864227024,MUSIC,SB
LLM,C1,P0,2,0.15139193610075957,0.15139193610075952,0.15139193610075963,Music,C1-P0
LLM,C2,P0,2,0.12650456427273477,0.1265045642727347,0.12650456427273482,Music,C2-P0
LLM,C3,P0,2,0.11781005228897495,0.1178100522889749,0.11781005228897501,Music,C3-P0
LLM,C4,P0,2,0.13033566326350077,0.13033566326350077,0.13033566326350077,Music,C4-P0
SB,SB,SB,4,0.10617665060093151,0.09709928895682296,0.1186828420613385,NEWS MEDIA,SB
LLM,C1,P0,4,0.15006819220486184,0.11294479779973032,0.18355261618467245,News Media,C1-P0
LLM,C2,P0,4,0.17461632535942662,0.16672642797588566,0.18916140349268284,News Media,C2-P0
LLM,C3,P0,4,0.22107507977009613,0.19658451969440516,0.25905070778471784,News Media,C3-P0
LLM,C4,P0,4,0.15824407171955926,0.12152279411325784,0.18585569729885087,News Media,C4-P0
SB,SB,SB,3,0.1270056030751904,0.12324674013559789,0.1290682485823912,RECYCLING,SB
LLM,C1,P0,3,0.09690525140351562,0.08826937545222902,0.10536445262928218,Recycling,C1-P0
LLM,C2,P0,3,0.1251259766427755,0.11423855319978926,0.13351874879968262,Recycling,C2-P0
LLM,C3,P0,3,0.17494113370192566,0.16562604331911746,0.18121930203483905,Recycling,C3-P0
LLM,C4,P0,3,0.12114337370549422,0.1093992340315526,0.14383631618885506,Recycling,C4-P0
SB,SB,SB,2,0.1263687779463742,0.12636877794637413,0.12636877794637424,TAXES,SB
SB,SB,SB,6,0.16193917717812342,0.12202937976988759,0.2119502242310094,TRIAL BY JURY,SB
LLM,C1,P0,2,0.15042147771725867,0.15042147771725856,0.15042147771725878,Taxes,C1-P0
LLM,C2,P0,2,0.17624756644767547,0.17624756644767547,0.17624756644767547,Taxes,C2-P0
LLM,C3,P0,2,0.17879734661083563,0.17879734661083557,0.17879734661083568,Taxes,C3-P0
LLM,C4,P0,2,0.13169046258114248,0.13169046258114236,0.1316904625811426,Taxes,C4-P0
LLM,C1,P0,6,0.22975116952139535,0.18259540368557248,0.27521094451729244,Trial By Jury,C1-P0
LLM,C2,P0,6,0.2632608151044353,0.2346032936698309,0.3168559137641097,Trial By Jury,C2-P0
LLM,C3,P0,6,0.2679241304128954,0.21254194325802345,0.32531701841797755,Trial By Jury,C3-P0
LLM,C4,P0,6,0.2005257161997599,0.1332732383383457,0.24491813433390008,Trial By Jury,C4-P0
